Vendor,,Offer #,Market,,Event Name,,,Event Date,AdPlan #,Ad Plan Name,,Marketer ,Rate,,,Tracking
Amobee,,333903,Houston,,Lana Del Rey,,,5/7/2015,86208,Lana Del Rey - Cynthia Woods Mitchell Pavilion presented by Huntsman (Houston),,BBirr,$0.00 ,,,http://www.livenation.com/events/417852-may-7-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Houston_CynthiaWoodsMitchellPavilionpresentedbyHuntsman_LanaDelRey_MD_Rich_C_60587_20150401_20150401
,,333903,Houston,,Lana Del Rey,,,5/7/2015,86208,Lana Del Rey - Cynthia Woods Mitchell Pavilion presented by Huntsman (Houston),,BBirr,$492.50 ,,,http://www.livenation.com/events/417852-may-7-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Houston_CynthiaWoodsMitchellPavilionpresentedbyHuntsman_LanaDelRey_MD_Standard_O_42393_20141126_20141126
,,334553,Dallas- Fort Worth,,Lana Del Rey,,,5/9/2015,86395,Lana Del Rey - Gexa Energy Pavilion (Dallas),,EKopp ,$0.00 ,,,http://www.livenation.com/events/417838-may-9-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_DallasFortWorth_GexaEnergyPavilion_LanaDelRey_MD_Rich_C_60595_20150406_20150406
,,334553,Dallas- Fort Worth,,Lana Del Rey,,,5/9/2015,86395,Lana Del Rey - Gexa Energy Pavilion (Dallas),,EKopp ,$492.50 ,,,http://www.livenation.com/events/417838-may-9-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_DallasFortWorth_GexaEnergyPavilion_LanaDelRey_MD_Standard_O_42396_20141201_20141201
,,334565,Denver,,Lana Del Rey,,,5/12/2015,86405,Lana Del Rey - Red Rocks Amphitheatre (Denver),,SBurris,$0.00 ,,,http://www.livenation.com/events/417848-may-12-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Denver_RedRocksAmphitheatre_LanaDelRey_MD_Rich_C_60603_20150505_20150505
,,334565,Denver,,Lana Del Rey,,,5/12/2015,86405,Lana Del Rey - Red Rocks Amphitheatre (Denver),,SBurris,$379.97 ,,,http://www.livenation.com/events/417848-may-12-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Denver_RedRocksAmphitheatre_LanaDelRey_MD_Standard_O_42399_20141126_20141126
,,334568,Phoenix,,Lana Del Rey,,,5/14/2015,86407,Lana Del Rey - Ak-Chin Pavilion (Phoenix),,dengel,$0.00 ,,,http://www.livenation.com/events/417861-may-14-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Phoenix_AkChinPavilion_LanaDelRey_MD_Rich_C_60611_20150401_20150401
,,334568,Phoenix,,Lana Del Rey,,,5/14/2015,86407,Lana Del Rey - Ak-Chin Pavilion (Phoenix),,dengel,$591.85 ,,,http://www.livenation.com/events/417861-may-14-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Phoenix_AkChinPavilion_LanaDelRey_MD_Standard_O_42402_20141126_20141126
,,329713,San Diego,,Lana Del Rey,,,5/16/2015,86391,Lana Del Rey - Sleep Train Amphitheatre (Chula Vista),,AMcguire,$0.00 ,,,http://www.livenation.com/events/417837-may-16-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_SanDiego_SleepTrainAmphitheatre_LanaDelRey_MD_Rich_C_60619_20150501_20150501
,,329713,San Diego,,Lana Del Rey,,,5/16/2015,86391,Lana Del Rey - Sleep Train Amphitheatre (Chula Vista),,AMcguire,$692.28 ,,,http://www.livenation.com/events/417837-may-16-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_SanDiego_SleepTrainAmphitheatre_LanaDelRey_MD_Standard_O_42405_20141126_20141126
,,334674,Los Angeles - Orange County,,Lana Del Rey,,,5/18/2015,86442,Lana Del Rey - Hollywood Bowl – LNHS (Los Angeles),,KFinkenberg,$0.00 ,,,http://www.livenation.com/events/417905-may-18-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_LosAngelesOrangeCounty_HollywoodBowlLNHS_LanaDelRey_MD_Rich_C_60627_20150501_20150501
,,334674,Los Angeles - Orange County,,Lana Del Rey,,,5/18/2015,86442,Lana Del Rey - Hollywood Bowl – LNHS (Los Angeles),,KFinkenberg,$491.84 ,,,http://www.livenation.com/events/417905-may-18-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_LosAngelesOrangeCounty_HollywoodBowlLNHS_LanaDelRey_MD_Standard_O_42408_20141126_20141126
,,335192,San Francisco,,Lana Del Rey,,,5/20/2015,87443,Lana Del Rey 05.20.15 SHO,,JSheehan,$0.00 ,,,http://www.livenation.com/events/417847-may-20-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_SanFrancisco_ShorelineAmphitheatre_LanaDelRey_MD_Rich_C_60635_20150504_20150504
,,335192,San Francisco,,Lana Del Rey,,,5/20/2015,87443,Lana Del Rey 05.20.15 SHO,,JSheehan,$492.28 ,,,http://www.livenation.com/events/417847-may-20-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_SanFrancisco_ShorelineAmphitheatre_LanaDelRey_MD_Standard_O_42411_20141201_20141201
,,333746,"Portland, OR",,Lana Del Rey,,,5/22/2015,86215,Lana Del Rey - Sleep Country Amphitheater (Ridgefield),,BGentry,$0.00 ,,,http://www.livenation.com/events/417843-may-22-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_PortlandOR_AmphitheaterNorthwest_LanaDelRey_MD_Rich_C_60643_99991231_99991231
,,333746,"Portland, OR",,Lana Del Rey,,,5/22/2015,86215,Lana Del Rey - Sleep Country Amphitheater (Ridgefield),,BGentry,$392.43 ,,,http://www.livenation.com/events/417843-may-22-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_PortlandOR_AmphitheaterNorthwest_LanaDelRey_MD_Standard_O_42414_20141126_20141126
,,334637,Indianapolis,,Lana Del Rey,,,5/28/2015,86431,Lana Del Rey - Klipsch Music Center  (Noblesville),,KJohnston,$0.00 ,,,http://www.livenation.com/events/417836-may-28-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Indianapolis_KlipschMusicCenter_LanaDelRey_MD_Rich_C_60651_20150401_20150401
,,334637,Indianapolis,,Lana Del Rey,,,5/28/2015,86431,Lana Del Rey - Klipsch Music Center  (Noblesville),,KJohnston,$492.50 ,,,http://www.livenation.com/events/417836-may-28-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Indianapolis_KlipschMusicCenter_LanaDelRey_MD_Standard_O_42417_20141201_20141201
,,335261,Chicago,,Lana Del Rey,,,5/30/2015,87600,Lana Del Rey - First Midwest Bank Amphitheatre (Tinley Park),,LSchoenholtz,$0.00 ,,,http://www.livenation.com/events/417835-may-30-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Chicago_FirstMidwestBankAmphitheatre_LanaDelRey_MD_Rich_C_60659_20150323_20150323
,,335261,Chicago,,Lana Del Rey,,,5/30/2015,87600,Lana Del Rey - First Midwest Bank Amphitheatre (Tinley Park),,LSchoenholtz,$492.28 ,,,http://www.livenation.com/events/417835-may-30-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Chicago_FirstMidwestBankAmphitheatre_LanaDelRey_MD_Standard_O_42420_20141201_20141201
,,334620,Detroit,,Lana Del Rey,,,5/31/2015,86427,Lana Del Rey - DTE Energy Music Theatre (Clarkston),,DClark,$0.00 ,,,http://www.livenation.com/events/417862-may-31-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Detroit_DTEEnergyMusicTheatre_LanaDelRey_MD_Rich_C_60667_99991231_99991231
,,334620,Detroit,,Lana Del Rey,,,5/31/2015,86427,Lana Del Rey - DTE Energy Music Theatre (Clarkston),,DClark,$492.50 ,,,http://www.livenation.com/events/417862-may-31-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Detroit_DTEEnergyMusicTheatre_LanaDelRey_MD_Standard_O_42423_20141201_20141201
,,333263,Toronto,,Lana Del Rey,,,6/3/2015,86002,Lana Del Rey - Molson Canadian Amphitheatre (Toronto),,BKehoe,$0.00 ,,,http://www.livenation.com/events/417844-jun-3-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Toronto_MolsonCanadianAmphitheatre_LanaDelRey_MD_Rich_C_60675_20141207_20141207
,,333263,Toronto,,Lana Del Rey,,,6/3/2015,86002,Lana Del Rey - Molson Canadian Amphitheatre (Toronto),,BKehoe,$25.56 ,,,http://www.livenation.com/events/417844-jun-3-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Toronto_MolsonCanadianAmphitheatre_LanaDelRey_MD_Standard_O_42426_20141126_20141126
,,335193,Montreal,,Lana Del Rey,,,6/4/2015,87364,Lana Del Rey - Bell Centre (Montreal),,DefaultMarketer,$0.00 ,,,http://www.livenation.com/events/419102-jun-4-2015-lana-del-rey?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Montreal_BellCentre_LanaDelRey_MD_Rich_C_60683_99991231_99991231
,,335193,Montreal,,Lana Del Rey,,,6/4/2015,87364,Lana Del Rey - Bell Centre (Montreal),,DefaultMarketer,$592.07 ,,,http://www.livenation.com/events/419102-jun-4-2015-lana-del-rey?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Montreal_BellCentre_LanaDelRey_MD_Standard_O_42429_20141126_20141126
,,337233,Philadelphia ,,Lana Del Rey,,,6/6/2015,87368,Lana Del Rey - Borgata Resort Spa & Casino (Atlantic City),,DefaultMarketer,$0.00 ,,,
,,332373,Boston,,Lana Del Rey,,,6/9/2015,,,,,$0.00 ,,,http://www.livenation.com/events/452036-jun-9-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Boston_XfinityCenter_LanaDelRey_MD_Rich_C_60699_99991231_99991231
,,332373,Boston,,Lana Del Rey,,,6/9/2015,,,,,$0.00 ,,,http://www.livenation.com/events/452036-jun-9-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Boston_XfinityCenter_LanaDelRey_MD_Standard_O_42435_99991231_99991231
,,334047,"Washington, DC",,Lana Del Rey,,,6/11/2015,86206,Lana Del Rey - Jiffy Lube Live (Bristow),,jxenakis,$0.00 ,,,http://www.livenation.com/events/417845-jun-11-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_WashingtonDC_JiffyLubeLive_LanaDelRey_MD_Rich_C_60707_20150511_20150511
,,334047,"Washington, DC",,Lana Del Rey,,,6/11/2015,86206,Lana Del Rey - Jiffy Lube Live (Bristow),,jxenakis,$892.50 ,,,http://www.livenation.com/events/417845-jun-11-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_WashingtonDC_JiffyLubeLive_LanaDelRey_MD_Standard_O_42438_20141201_20141201
,,334559,Charlotte,,Lana Del Rey,,,6/13/2015,86400,Lana Del Rey - PNC Music Pavilion  (Charlotte),,DefaultMarketer,$0.00 ,,,http://www.livenation.com/events/417841-jun-13-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Charlotte_PNCMusicPavilion_LanaDelRey_MD_Rich_C_60715_99991231_99991231
,,334559,Charlotte,,Lana Del Rey,,,6/13/2015,86400,Lana Del Rey - PNC Music Pavilion  (Charlotte),,DefaultMarketer,$492.50 ,,,http://www.livenation.com/events/417841-jun-13-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Charlotte_PNCMusicPavilion_LanaDelRey_MD_Standard_O_42441_20141126_20141126
,,334622,Atlanta,,Lana Del Rey,,,6/14/2015,86424,Lana Del Rey - Aarons Amphitheatre at Lakewood (Atlanta),,DefaultMarketer,$0.00 ,,,http://www.livenation.com/events/417842-jun-14-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Atlanta_AaronsAmphitheatreatLakewood_LanaDelRey_MD_Rich_C_60723_99991231_99991231
,,334622,Atlanta,,Lana Del Rey,,,6/14/2015,86424,Lana Del Rey - Aarons Amphitheatre at Lakewood (Atlanta),,DefaultMarketer,$592.50 ,,,http://www.livenation.com/events/417842-jun-14-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_Atlanta_AaronsAmphitheatreatLakewood_LanaDelRey_MD_Standard_O_42444_20141126_20141126
,,334048,West Palm Beach,,Lana Del Rey,,,6/16/2015,86209,Lana Del Rey - Cruzan Amphitheatre (West Palm Beach),,ERieke,$0.00 ,,,http://www.livenation.com/events/417839-jun-16-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_WestPalmBeach_CoralSkyAmphitheatre_LanaDelRey_MD_Rich_C_60731_99991231_99991231
,,334048,West Palm Beach,,Lana Del Rey,,,6/16/2015,86209,Lana Del Rey - Cruzan Amphitheatre (West Palm Beach),,ERieke,$492.06 ,,,http://www.livenation.com/events/417839-jun-16-2015-lana-del-rey-endless-summer-tour?open_in_app=true&c=LN_NAC_MOB_NAT_Amobee_WestPalmBeach_CoralSkyAmphitheatre_LanaDelRey_MD_Standard_O_42447_20141201_20141201
DataXu,,333903,Houston,,Lana Del Rey,,,5/7/2015,86208,Lana Del Rey - Cynthia Woods Mitchell Pavilion presented by Huntsman (Houston),,BBirr,$0.00 ,,,http://www.livenation.com/events/417852-may-7-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Houston_CynthiaWoodsMitchellPavilionpresentedbyHuntsman_LanaDelRey_DR_Standard_C_60588_20150401_20150401
,,333903,Houston,,Lana Del Rey,,,5/7/2015,86208,Lana Del Rey - Cynthia Woods Mitchell Pavilion presented by Huntsman (Houston),,BBirr,$990.24 ,,,http://www.livenation.com/events/417852-may-7-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Houston_CynthiaWoodsMitchellPavilionpresentedbyHuntsman_LanaDelRey_DR_Standard_O_42392_20141126_20141126
,,334553,Dallas- Fort Worth,,Lana Del Rey,,,5/9/2015,86395,Lana Del Rey - Gexa Energy Pavilion (Dallas),,EKopp ,$0.00 ,,,http://www.livenation.com/events/417838-may-9-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_DallasFortWorth_GexaEnergyPavilion_LanaDelRey_DR_Standard_C_60596_20150406_20150406
,,334553,Dallas- Fort Worth,,Lana Del Rey,,,5/9/2015,86395,Lana Del Rey - Gexa Energy Pavilion (Dallas),,EKopp ,$991.22 ,,,http://www.livenation.com/events/417838-may-9-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_DallasFortWorth_GexaEnergyPavilion_LanaDelRey_DR_Standard_O_42395_20141201_20141201
,,334565,Denver,,Lana Del Rey,,,5/12/2015,86405,Lana Del Rey - Red Rocks Amphitheatre (Denver),,SBurris,$0.00 ,,,http://www.livenation.com/events/417848-may-12-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Denver_RedRocksAmphitheatre_LanaDelRey_DR_Standard_C_60604_20150505_20150505
,,334565,Denver,,Lana Del Rey,,,5/12/2015,86405,Lana Del Rey - Red Rocks Amphitheatre (Denver),,SBurris,$7.39 ,,,http://www.livenation.com/events/417848-may-12-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Denver_RedRocksAmphitheatre_LanaDelRey_DR_Standard_O_42398_20141126_20141126
,,334568,Phoenix,,Lana Del Rey,,,5/14/2015,86407,Lana Del Rey - Ak-Chin Pavilion (Phoenix),,dengel,$0.00 ,,,http://www.livenation.com/events/417861-may-14-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Phoenix_AkChinPavilion_LanaDelRey_DR_Standard_C_60612_20150401_20150401
,,334568,Phoenix,,Lana Del Rey,,,5/14/2015,86407,Lana Del Rey - Ak-Chin Pavilion (Phoenix),,dengel,"$1,192.35 ",,,http://www.livenation.com/events/417861-may-14-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Phoenix_AkChinPavilion_LanaDelRey_DR_Standard_O_42401_20141126_20141126
,,329713,San Diego,,Lana Del Rey,,,5/16/2015,86391,Lana Del Rey - Sleep Train Amphitheatre (Chula Vista),,AMcguire,$0.00 ,,,http://www.livenation.com/events/417837-may-16-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_SanDiego_SleepTrainAmphitheatre_LanaDelRey_DR_Standard_C_60620_20150501_20150501
,,329713,San Diego,,Lana Del Rey,,,5/16/2015,86391,Lana Del Rey - Sleep Train Amphitheatre (Chula Vista),,AMcguire,"$1,391.50 ",,,http://www.livenation.com/events/417837-may-16-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_SanDiego_SleepTrainAmphitheatre_LanaDelRey_DR_Standard_O_42404_20141126_20141126
,,334674,Los Angeles - Orange County,,Lana Del Rey,,,5/18/2015,86442,Lana Del Rey - Hollywood Bowl – LNHS (Los Angeles),,KFinkenberg,$0.00 ,,,http://www.livenation.com/events/417905-may-18-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_LosAngelesOrangeCounty_HollywoodBowlLNHS_LanaDelRey_DR_Standard_C_60628_20150501_20150501
,,334674,Los Angeles - Orange County,,Lana Del Rey,,,5/18/2015,86442,Lana Del Rey - Hollywood Bowl – LNHS (Los Angeles),,KFinkenberg,$9.33 ,,,http://www.livenation.com/events/417905-may-18-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_LosAngelesOrangeCounty_HollywoodBowlLNHS_LanaDelRey_DR_Standard_O_42407_20141126_20141126
,,335192,San Francisco,,Lana Del Rey,,,5/20/2015,87443,Lana Del Rey 05.20.15 SHO,,JSheehan,$0.00 ,,,http://www.livenation.com/events/417847-may-20-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_SanFrancisco_ShorelineAmphitheatre_LanaDelRey_DR_Standard_C_60636_20150504_20150504
,,335192,San Francisco,,Lana Del Rey,,,5/20/2015,87443,Lana Del Rey 05.20.15 SHO,,JSheehan,$984.66 ,,,http://www.livenation.com/events/417847-may-20-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_SanFrancisco_ShorelineAmphitheatre_LanaDelRey_DR_Standard_O_42410_20141201_20141201
,,333746,"Portland, OR",,Lana Del Rey,,,5/22/2015,86215,Lana Del Rey - Sleep Country Amphitheater (Ridgefield),,BGentry,$0.00 ,,,http://www.livenation.com/events/417843-may-22-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_PortlandOR_AmphitheaterNorthwest_LanaDelRey_DR_Standard_C_60644_99991231_99991231
,,333746,"Portland, OR",,Lana Del Rey,,,5/22/2015,86215,Lana Del Rey - Sleep Country Amphitheater (Ridgefield),,BGentry,$787.14 ,,,http://www.livenation.com/events/417843-may-22-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_PortlandOR_AmphitheaterNorthwest_LanaDelRey_DR_Standard_O_42413_20141126_20141126
,,334637,Indianapolis,,Lana Del Rey,,,5/28/2015,86431,Lana Del Rey - Klipsch Music Center  (Noblesville),,KJohnston,$0.00 ,,,http://www.livenation.com/events/417836-may-28-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Indianapolis_KlipschMusicCenter_LanaDelRey_DR_Standard_C_60652_20150401_20150401
,,334637,Indianapolis,,Lana Del Rey,,,5/28/2015,86431,Lana Del Rey - Klipsch Music Center  (Noblesville),,KJohnston,$988.61 ,,,http://www.livenation.com/events/417836-may-28-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Indianapolis_KlipschMusicCenter_LanaDelRey_DR_Standard_O_42416_20141201_20141201
,,335261,Chicago,,Lana Del Rey,,,5/30/2015,87600,Lana Del Rey - First Midwest Bank Amphitheatre (Tinley Park),,LSchoenholtz,$0.00 ,,,http://www.livenation.com/events/417835-may-30-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Chicago_FirstMidwestBankAmphitheatre_LanaDelRey_DR_Standard_C_60660_20150323_20150323
,,335261,Chicago,,Lana Del Rey,,,5/30/2015,87600,Lana Del Rey - First Midwest Bank Amphitheatre (Tinley Park),,LSchoenholtz,$990.64 ,,,http://www.livenation.com/events/417835-may-30-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Chicago_FirstMidwestBankAmphitheatre_LanaDelRey_DR_Standard_O_42419_20141201_20141201
